 Graph # | Result | Evaluation | Characteristics
1,1,0,4,-6,-2,0.0625,0.125,0.1875,2,4,6,-5,5,0,-1,-1,-1,-1,-5,5,0,-1,-1,-1,-1,
2,0,0,-1,1,2,-0.125,0,-0.125,-4,0,-4,-1,1,-1,0,0,0,0,-1,1,-1,0,0,0,0,
3,0,0,-7,0,2,-0.09375,0.09375,0,-3,3,0,3,-2,-1,1,1,1,0,3,-2,-1,1,1,1,0,
4,0,0,2,1,0,-0.0625,-0.03125,-0.09375,-2,-1,-3,-1,2,-1,0,-1,0,0,-1,2,-1,0,-1,0,0,
5,1,0,0,-1,0,0.0625,0.03125,0.09375,2,1,3,3,-3,0,0,0,1,1,3,-3,0,0,0,1,1,
6,0,0,0,0,0,0,0,0,0,0,0,2,-3,1,0,0,1,1,2,-3,1,0,0,1,1,
7,0,0,-1,0,2,0,0.0625,0.0625,0,2,2,2,-2,1,1,0,0,0,2,-2,1,1,0,0,0,
8,1,0,1,-1,0,0.125,0,0.125,4,0,4,3,-3,0,0,1,1,1,3,-3,0,0,1,1,1,
9,1,0,4,-2,1,-0.09375,0.0625,-0.03125,-3,2,-1,1,-1,1,0,0,0,0,1,-1,1,0,0,0,0,
10,0,0,0,-3,-2,0.28125,0,0.28125,9,0,9,1,-1,1,0,0,0,0,1,-1,1,0,0,0,0,
11,1,0,0,1,0,0.125,-0.09375,0.03125,4,-3,1,1,1,-2,0,0,0,0,1,1,-2,0,0,0,0,
12,1,0,-3,-2,0,0.03125,0.03125,0.0625,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,1,0,1,2,1,-0.03125,-0.03125,-0.0625,-1,-1,-2,1,-1,0,0,0,1,0,1,-1,0,0,0,1,0,
14,1,0,-3,0,1,-0.09375,0.09375,0,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,1,0,0,-1,-1,-0.28125,0.03125,-0.25,-9,1,-8,-5,4,1,-1,-1,-1,-1,-5,4,1,-1,-1,-1,-1,
16,1,0,0,1,0,0.21875,-0.0625,0.15625,7,-2,5,5,-5,1,1,1,1,1,5,-5,1,1,1,1,1,
17,0,0,-2,2,2,-0.125,0,-0.125,-4,0,-4,-1,1,0,-1,0,0,0,-1,1,0,-1,0,0,0,
